,Wild Lifespan,Gene(s),Mutant Lifespan
617,21.56,rde-1,23.72
618,21.36,glp-1,29.35
619,21.83,glp-1,30.2
620,22.26,glp-1,27.29
621,23.78,glp-1,27.93
622,23.95,kri-1,22.43
623,23.96,kri-1,23.74
624,17.2,aak-2,12.6
625,17.2,aak-2,17.9
626,17.2,aak-1,16.5
627,17.2,aak-1; aak-2,14.6
628,17.2,par-4,16.6
629,16.4,sad-1,15.8
630,16.4,kin-29,12.1
631,16.4,mml-1,15.2
632,18.4,frh-1,23.1
633,18.4,bec-1,9.9
634,17.2,aak-2,15.4
635,17.2,aak-2,12.4
636,17.2,par-4,16.8
637,17.2,sad-1,18.6
638,17.2,kin-29,13.0
639,17.2,mml-1,14.2
640,18.5,glp-1,27.21
641,19.81,glp-1,26.19
642,18.48,daf-2,37.39
643,20.62,aak-2,16.72
644,15.1,daf-2,38.2
645,16.1,daf-2,40.0
646,19.9,rsks-1,23.3
647,19.4,hsf-1,14.3
648,20.2,hsf-1,14.7
649,16.9,rsks-1,20.2
650,18.2,rsks-1,22.3
651,19.4,rsks-1,22.4
652,20.2,rsks-1,25.2
653,17.7,rsks-1,22.0
654,17.8,rsks-1,18.0
655,17.8,rsks-1,21.4
656,16.2,rsks-1,18.5
657,18.6,hsf-1,12.8
658,18.7,hsf-1,12.2
659,18.4,hsf-1,11.6
660,17.7,hsf-1,13.2
661,20.3,rsks-1,22.3
662,16.5,daf-2,29.51
663,16.5,pmq-1,15.36
664,11.97,pmq-1,13.84
665,19.89,daf-9,18.63
666,19.89,aak-2,23.78
667,19.89,nhr-8,13.72
668,17.08,eat-2,21.5
669,22.64,skn-1,20.29
670,22.3,skn-1,21.02
671,22.43,eif-1,28.16
672,22.28,eif-1A,26.84
673,22.51,daf-16,19.74
674,23.55,daf-16,21.07
675,23.55,daf-16;skn-1,16.91
676,22.62,daf-16,18.88
677,22.62,daf-16;skn-1,16.16
678,10.0,ets-4,11.6
679,13.3,ets-4,16.7
680,12.2,ets-4,16.3
681,12.9,ets-4,16.7
682,20.0,daf-2,38.33
683,15.82,isp-1,24.84
684,11.5,daf-2,29.4
685,14.3,aakb-1,12.6
686,14.2,aakb-1,12.5
687,13.5,aakb-1,13.1
688,14.4,aakb-1,12.6
689,15.1,aakb-1,12.5
690,11.1,daf-2,29.5
691,11.8,daf-2,28.9
692,11.7,daf-2,29.9
693,11.3,daf-2,29.0
694,9.7,aakg-4,10.8
695,9.7,daf-2,21.5
696,9.9,daf-2,23.8
697,9.9,aakg-4,10.4
698,9.9,daf-2;aakg-4,18.2
699,20.49,ceh-23,20.91
700,17.78,ceh-23,17.98
701,19.28,ceh-23,20.16
702,17.49,ceh-23,18.12
703,17.09,ceh-23,16.13
704,17.79,ceh-23,19.16
705,18.72,ceh-23,18.57
706,16.76,ceh-23,19.7
707,15.61,ceh-23,15.4
708,13.0,akt-1,15.0
709,18.04,hif-1,21.03
710,16.88,hif-1,19.53
711,18.67,hif-1,21.61
712,20.13,hif-1,21.85
713,17.99,hif-1,20.8
714,22.46,hif-1,23.03
715,24.45,hif-1,24.2
716,22.39,hif-1,20.92
717,21.19,hif-1,25.16
718,26.0,hif-1,21.56
719,22.67,hif-1,21.89
720,23.32,hif-1,22.82
721,31.07,hif-1,33.32
722,34.48,hif-1,34.9
723,28.69,hif-1,28.47
724,33.28,hif-1,31.56
725,31.98,hif-1,31.95
726,18.65,hif-1,20.76
727,18.73,hif-1,21.18
728,20.64,hif-1,24.59
729,22.87,hif-1,22.27
730,15.2,daf-2,48.6
731,13.1,daf-16,10.8
732,13.6,hcf-1,16.3
733,13.9,daf-2,30.3
734,14.5,hcf-1,16.0
735,14.7,daf-16,9.2
736,14.7,daf-2,28.7
737,13.4,age-1,20.0
738,13.6,glp-1,18.0
739,16.66,atm-1,21.33
740,17.33,egl-1,14.33
741,17.0,atm-1,20.5
742,15.0,skn-1,11.0
743,13.75,daf-16,11.5
744,15.0,sir-2.1,14.66
745,15.0,cep-1,17.66
746,15.9,skn-1,12.3
747,15.9,cep-1,17.6
748,17.0,cep-1,19.1
749,16.3,atm-1,19.5
750,16.3,egl-1,14.6
751,20.0,mxl-3,28.0
752,17.1,daf-2,46.9
753,16.2,unc-64,40.3
754,17.6,unc-13,35.7
755,17.6,unc-13,38.9
756,17.6,unc-13; daf-16,21.6
757,17.6,unc-13;daf-16,23.9
758,16.2,eat-2,22.6
759,18.2,eat-2,21.2
760,17.5,fer-15;fem-1,21.3
761,22.9,fer-15;fem-1,21.2
762,22.9,fer-15;fem-1,21.5
763,22.9,fer-15;fem-1,19.2
764,17.5,eat-2,23.7
765,17.5,eat-2,31.1
766,22.9,eat-2,28.7
767,19.7,eat-2,22.4
768,19.5,eat-2,27.6
769,24.5,eat-2,27.6
770,24.5,eat-2,22.4
771,19.8,eat-2;rrf-3,19.3
772,21.4,daf-15;unc-24,23.5
773,19.9,daf-15;unc-24,21.8
774,20.6,daf-15;unc-24,22.6
775,21.4,daf-15;unc-24,25.1
776,22.9,rab-10,27.9
777,17.5,rab-10,30.7
778,17.5,daf-2;fer-15;fem-1,28.4
779,19.7,daf-2;fer-15;fem-1,31.0
780,19.5,daf-2;fer-15;fem-1,34.1
781,19.8,daf-2;fer-15;fem-1,32.7
782,14.6,daf-2;rsks-1,50.51
783,19.02,daf-2;rsks-1,46.29
784,21.1,daf-2;rsks-1,42.86
785,22.98,daf-2;rsks-1,49.6
786,20.0,aak-2,21.71
787,18.63,aak-2,21.53
788,20.0,aak-2,23.19
789,17.33,tax-6,20.0
790,16.8,tax-6,14.9
791,21.5,daf-2,35.0
792,11.81,daf-2,41.81
793,20.52,daf-2,33.68
794,21.33,daf-2,35.33
795,21.57,daf-2,35.26
796,21.87,daf-2,32.5
797,21.66,daf-2,35.55
798,19.0,glp-1,23.9
799,18.9,mes-1,18.2
800,18.9,mes-1,24.2
801,19.9,daf-12,17.6
802,19.9,daf-9,18.5
803,19.4,daf-16,17.2
804,19.4,skn-1,16.1
805,19.4,kri-1,19.0
806,19.3,daf-2,52.3
807,19.1,glp-1,23.0
808,19.1,rrf-1,19.4
809,18.8,daf-16,16.8
810,19.3,daf-16,16.3
811,19.5,skn-1,16.3
812,18.3,daf-16,15.9
813,19.3,daf-16,17.9
814,18.0,glp-1,22.9
815,19.5,glp-1,26.2
816,18.9,glp-1,23.4
817,19.3,glp-1,22.6
818,19.3,mes-1,18.4
819,19.3,mes-1,24.5
820,18.5,mes-1,18.1
821,18.5,mes-1,23.9
822,20.4,daf-12,18.0
823,20.4,daf-9,18.3
824,19.3,daf-12,17.2
825,19.3,daf-9,18.8
826,20.1,daf-16,17.5
827,20.1,skn-1,16.0
828,18.8,daf-16,17.0
829,18.8,skn-1,16.4
830,20.1,kri-1,19.7
831,18.8,kri-1,18.1
832,19.0,daf-2,52.3
833,19.6,daf-2,52.3
834,19.0,rrf-1,19.1
835,19.1,rrf-1,19.8
836,19.5,daf-16,17.0
837,19.4,daf-16,16.7
838,18.9,daf-16,14.6
839,18.6,skn-1,14.6
840,20.4,skn-1,18.0
841,20.3,daf-2,33.9
842,20.3,daf-16;daf-2,11.9
843,20.3,eat-2,22.9
844,15.9,clk-1,17.1
845,32.6,clk-1,34.6
846,20.8,nuo-6,33.9
847,20.8,isp-1,32.9
848,20.8,eat-2,29.4
849,21.6,nuo-6,32.1
850,21.6,isp-1,32.9
851,21.6,eat-2,27.6
852,14.66,daf-2,25.33
853,17.93,daf-2,36.55
854,17.93,daf-2,35.17
855,18.62,daf-2,37.24
856,17.24,daf-2,27.93
857,17.93,daf-2,34.48
858,20.68,daf-2,40.0
859,15.86,daf-2,31.03
860,18.5,daf-2,45.9
861,18.5,daf-2,44.1
862,22.5,isp-1,35.0
863,19.6,daf-2,36.3
864,19.6,isp-1,33.0
865,19.6,daf-16,17.0
866,14.9,clk-1,18.4
867,14.9,clk-1,19.8
868,14.9,clk-3,20.4
869,14.9,gro-1,19.2
870,14.9,age-1;fer-15,26.3
871,16.1,clk-1,17.3
872,16.1,clk-1,19.3
873,16.1,clk-3,19.9
874,22.0,clk-1,29.3
875,22.0,clk-1,31.0
876,14.9,daf-16,15.1
877,8.5,daf-2,15.9
878,18.9,rsks-1,22.4
879,20.0,rsks-1,21.9
880,18.9,daf-2,41.1
881,20.0,daf-2,42.2
882,18.9,daf-2;rsks-1,68.1
