Wild Lifespan,Gene(s),Mutant Lifespan
15.4,hcf-1,18.4
15.4,hcf-1,18.4
15.4,hcf-1,18.4
15.4,hcf-1,18.4
15.1,hcf-1,18.9
15.1,hcf-1,18.9
15.1,hcf-1,18.9
15.1,hcf-1,18.9
15.1,hcf-1,18.9
15.0,hcf-1,18.9
15.0,hcf-1,18.9
15.0,hcf-1,18.9
15.0,hcf-1,18.9
15.0,hcf-1,18.9
15.1,hcf-1,19.4
15.1,hcf-1,19.4
15.1,hcf-1,19.4
15.1,hcf-1,19.4
15.1,hcf-1,19.4
18.6,hcf-1,22.5
18.6,hcf-1,22.5
18.6,hcf-1,22.5
18.6,hcf-1,25.0
18.6,hcf-1,25.0
18.6,hcf-1,25.0
16.7,hcf-1,18.3
16.7,sir-2.1,21.0
16.7,daf-2,30.3
16.8,hcf-1,18.0
16.8,sir-2.1,20.9
16.8,daf-2,26.1
16.8,hcf-1,18.1
16.8,sir-2.1,20.9
16.8,daf-2,28.4
15.8,hcf-1,22.2
15.8,hcf-1,22.2
15.1,hcf-1,19.8
15.1,hcf-1,19.8
15.5,hcf-1,21.0
23.08,skn-1,20.48
23.39,daf-16,20.67
22.93,skn-1,20.13
22.93,daf-16,18.09
22.93,daf-16; skn-1,18.65
23.67,skn-1,18.96
23.67,daf-16,20.61
23.67,skn-1,18.96
23.67,daf-16,20.61
22.56,glp-1,28.54
19.46,glp-1,26.46
20.98,glp-1,28.73
23.96,kri-1,23.13
22.09,skn-1,20.67
23.15,skn-1,19.37
23.44,skn-1,20.28
22.67,skn-1,20.76
23.44,skn-1,20.28
23.08,skn-1,17.71
24.77,skn-1,20.11
23.08,skn-1,17.71
24.77,skn-1,20.11
22.09,daf-16,15.57
23.15,daf-16,18.63
23.44,daf-16,20.0
23.44,daf-16,20.0
23.58,daf-16,20.49
23.16,daf-16,21.7
23.08,daf-16,19.15
22.87,daf-16,19.7
24.77,daf-16,22.09
23.08,daf-16,19.15
22.87,daf-16,19.7
24.77,daf-16,22.09
22.09,daf-16; skn-1,18.27
23.15,daf-16; skn-1,19.05
22.93,daf-16; skn-1,20.09
22.17,daf-16; skn-1,20.5
22.93,daf-16; skn-1,20.09
22.17,daf-16; skn-1,20.5
21.56,rde-1,23.72
19.46,glp-1,26.46
21.36,glp-1,29.35
21.83,glp-1,30.2
21.83,glp-1,30.2
22.26,glp-1,27.29
23.78,glp-1,27.93
23.95,kri-1,22.43
23.96,kri-1,23.74
23.95,kri-1,22.43
23.96,kri-1,23.74
17.2,aak-2,12.6
17.2,aak-2,17.9
17.2,aak-1,16.5
17.2,aak-1; aak-2,14.6
17.2,par-4,16.6
16.4,sad-1,15.8
16.4,kin-29,12.1
16.4,mml-1,15.2
18.4,frh-1,23.1
18.4,bec-1,9.9
